"Species","stem.g.F","leaf.g.F","repr.g.F","total.g.F","CN.F","RGR.la.F","d13C.F","SLA.F","stem.g.GH","leaf.g.GH","repr.g.GH","total.g.GH","CN.GH","RGRt.GH","RGR.la.GH","d13C.GH","SLA.GH","PC1"
"Agoseris heterophylla",0.0145,0.0175,0.016,0.048,22.5838598843642,0.017577547250182,-31.78,413.554657287157,2.7425,1.444,1.3165,5.503,26.9100082291955,0.0975162007600123,0.065519720519872,-31.72125,253.48544811066,-0.876427664975023
"Calycadenia pauciflora",0.0493,0.0452,0.0235,0.118,42.8969891445956,0.00657220866098199,-28.6,54.5559523809524,5.892,3.476,2.2435,11.6115,27.6368979483475,0.0685650917371834,0.0416124703563378,-30.95375,60.8863636363636,1.54518049907422
"Clarkia purpurea",0.0964,0.063,0.0619,0.2213,24.4741867318557,0.012867570693804,-29.412,87.0447635697636,4.7645,1.6625,5.486,11.913,21.8780938909965,0.0929373297256439,0.0591702515852811,-30.2925,138.113200618826,0.605290877224273
"Hemizonia congesta",0.6358,0.37525,0.18655,1.1976,24.1626436993638,0.0112431045997816,-28.01,64.0496757628337,9.145,3.815,1.254,14.214,17.2869837652257,0.071483335260882,0.0514019083429754,-29.9875,87.9,1.3751567558586
"Lasthenia californica",0.0024,0.0044,0.0045,0.0113,17.6253148243509,0.0262850250244112,-31.678,240.139899610623,0.9115,0.6625,0.518,2.092,11.4507198034856,0.130706253875934,0.097798748029105,-32.29625,349.085767961945,-1.63466778080532
"Plantago erecta",0.00245,0.01125,0.00465,0.01835,25.3186776247086,0.0240786040895487,-30.736,130.662559618025,0.9525,1.1005,3.0495,5.1025,14.5394233402544,0.075090169158551,0.0661523292600653,-31.54375,177.139304329194,-1.01453268637674
